CIWS Data Logger Output File
DataloggerName: 0004
SiteName: Site 0004
SiteDescription: Neptune T10 Residential Water Meter
TimeStamp,RecordNumber,Mem_Space_Available,Battery_Voltage,Water_Meter_Pulses,N/A,N/A,N/A
2018-07-13 14:13:49.246794,1,10327216128,11.1096774194,4,0,0,0
2018-07-13 14:13:53.267087,2,10327216128,11.1343108504,3,0,0,0
2018-07-13 14:13:57.285370,3,10327212032,11.0973607038,3,0,0,0
2018-07-13 14:14:01.304295,4,10327212032,11.1219941349,3,0,0,0
2018-07-13 14:14:05.323695,5,10327212032,11.1219941349,3,0,0,0
2018-07-13 14:14:09.342054,6,10327212032,11.146627566,3,0,0,0
2018-07-13 14:14:13.362028,7,10327212032,11.1343108504,3,0,0,0
2018-07-13 14:14:17.381011,8,10327212032,11.1219941349,3,0,0,0
2018-07-13 14:14:21.398641,9,10327212032,11.1096774194,3,0,0,0
2018-07-13 14:14:25.417337,10,10327207936,11.1219941349,3,0,0,0
2018-07-13 14:14:29.436329,11,10327207936,11.1343108504,3,0,0,0
2018-07-13 14:14:33.455619,12,10327207936,11.1096774194,3,0,0,0
2018-07-13 14:14:37.474517,13,10327207936,11.1712609971,3,0,0,0
2018-07-13 14:14:41.493039,14,10327207936,11.1096774194,3,0,0,0
2018-07-13 14:14:45.511155,15,10327207936,11.146627566,4,0,0,0
2018-07-13 14:14:49.529954,16,10327207936,11.146627566,3,0,0,0
2018-07-13 14:14:53.548532,17,10327207936,11.0973607038,3,0,0,0
2018-07-13 14:14:57.566902,18,10327203840,11.1712609971,3,0,0,0
2018-07-13 14:15:01.585750,19,10327203840,11.146627566,3,0,0,0
2018-07-13 14:15:05.605585,20,10327203840,11.1343108504,3,0,0,0
2018-07-13 14:15:09.623417,21,10327203840,11.146627566,3,0,0,0
2018-07-13 14:15:13.641212,22,10327203840,11.1096774194,4,0,0,0
2018-07-13 14:15:17.660787,23,10327203840,11.1219941349,3,0,0,0
2018-07-13 14:15:21.680375,24,10327203840,11.1712609971,3,0,0,0
2018-07-13 14:15:25.699520,25,10327199744,11.146627566,3,0,0,0
2018-07-13 14:15:29.718808,26,10327199744,11.1589442815,3,0,0,0
2018-07-13 14:15:33.737819,27,10327199744,11.0973607038,3,0,0,0
2018-07-13 14:15:37.757022,28,10327199744,11.1835777126,4,0,0,0
2018-07-13 14:15:41.775428,29,10327199744,11.146627566,3,0,0,0
2018-07-13 14:15:45.794883,30,10327199744,11.1589442815,3,0,0,0
2018-07-13 14:15:49.814149,31,10327199744,11.0850439883,3,0,0,0
2018-07-13 14:15:53.832642,32,10327195648,11.1712609971,3,0,0,0
2018-07-13 14:15:57.851256,33,10327195648,11.1589442815,4,0,0,0
2018-07-13 14:16:01.868773,34,10327195648,11.0973607038,3,0,0,0
2018-07-13 14:16:05.887482,35,10327195648,11.1835777126,3,0,0,0
2018-07-13 14:16:09.905385,36,10327195648,11.0973607038,3,0,0,0
